,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
22,2022-06-13,1652.983247829839,1642.5919560159873,1663.3264204641248,1652.983247829839,1652.983247829839,0.0,0.0,0.0,0.0,0.0,0.0,1652.983247829839
23,2022-06-20,1754.7351094374744,1743.5992311558773,1764.5702504246165,1754.7351094374744,1754.7351094374744,0.0,0.0,0.0,0.0,0.0,0.0,1754.7351094374744
24,2022-06-27,1856.4188043896718,1847.1884822247066,1866.925621835579,1856.4188043896718,1856.4188043896718,0.0,0.0,0.0,0.0,0.0,0.0,1856.4188043896718
25,2022-07-04,1958.1024993418694,1946.7636551081284,1967.2417095711055,1958.1024993418694,1958.1024993418694,0.0,0.0,0.0,0.0,0.0,0.0,1958.1024993418694
26,2022-07-11,2059.786194294067,2049.811902591065,2069.771804994755,2059.786194294067,2059.786194294067,0.0,0.0,0.0,0.0,0.0,0.0,2059.786194294067
27,2022-07-18,2161.4698892462643,2150.5192876422093,2171.7387985280225,2161.4698892462643,2161.4698892462643,0.0,0.0,0.0,0.0,0.0,0.0,2161.4698892462643
28,2022-07-25,2263.153584198463,2252.56086666689,2273.427040038993,2263.153584198463,2263.153584198463,0.0,0.0,0.0,0.0,0.0,0.0,2263.153584198463
29,2022-08-01,2364.83727915066,2354.348728101935,2374.720132334676,2364.83727915066,2364.83727915066,0.0,0.0,0.0,0.0,0.0,0.0,2364.83727915066
30,2022-08-07,2451.994731966829,2441.532572841656,2463.1665362849094,2450.919024802936,2453.571462342893,0.0,0.0,0.0,0.0,0.0,0.0,2451.994731966829
31,2022-08-14,2553.6784269190266,2542.203288363219,2565.851160041634,2548.515278966434,2559.0690582217785,0.0,0.0,0.0,0.0,0.0,0.0,2553.6784269190266
32,2022-08-21,2655.362121871224,2639.496283675985,2670.8548063048775,2644.7320472186875,2666.374366591287,0.0,0.0,0.0,0.0,0.0,0.0,2655.362121871224
33,2022-08-28,2757.045816823422,2736.775438410585,2778.011374213785,2739.9607431173704,2775.4521103585666,0.0,0.0,0.0,0.0,0.0,0.0,2757.045816823422
34,2022-09-04,2858.7295117756194,2833.028567379397,2886.0526120169116,2834.2078488568104,2885.236218099104,0.0,0.0,0.0,0.0,0.0,0.0,2858.7295117756194
35,2022-09-11,2960.4132067278174,2924.1249512573117,2995.5715597085787,2927.6017061584475,2995.5788487404748,0.0,0.0,0.0,0.0,0.0,0.0,2960.4132067278174
36,2022-09-18,3062.096901680014,3017.4662641588116,3108.642320469614,3018.838008128918,3106.848124944278,0.0,0.0,0.0,0.0,0.0,0.0,3062.096901680014
37,2022-09-25,3163.7805966322126,3110.9778853428256,3216.977416486412,3110.149822801887,3218.587604378477,0.0,0.0,0.0,0.0,0.0,0.0,3163.7805966322126
38,2022-10-02,3265.46429158441,3199.99845435997,3330.8000961468147,3199.994182864997,3330.3022814869137,0.0,0.0,0.0,0.0,0.0,0.0,3265.46429158441
39,2022-10-09,3367.1479865366073,3286.334788116673,3445.5002486524886,3288.7287964920934,3442.4849401969072,0.0,0.0,0.0,0.0,0.0,0.0,3367.1479865366073
